2025-10-21 02:12:34.462; INFO; AuraPlugin; 11028; 13256] [AuraLayerManagerInterfaceLog][LMDisplayAction] Start, Status = 0
2025-10-21 02:12:34.462; INFO; AuraPlugin; 11028; 13256] [AuraLayerManagerInterfaceLog][LMDisplayAction] LM Not Enable so don't close
2025-10-21 02:12:35.099; INFO; SystemFeature; 11028; 12248] [ModernStandby] OnPowerChanged : PBT_POWERSETTINGCHANGE
2025-10-21 02:12:35.101; INFO; SystemFeature; 11028; 12248] [TouchPad] NotifyConsoleStatusChanged Exist
2025-10-21 02:12:35.101; WARNING; StreamPlugin; 11028; 12248] StreamPlugin::DoCommand, connection peer 0x01 is not connected
2025-10-21 02:12:35.101; INFO; StreamPlugin; 11028; 12248] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 3, completed event: 0000000000000460
2025-10-21 02:12:35.107; INFO; StreamPlugin; 11028; 12212] StreamPlugin::ConnectionHandler::SendCommand, removed sender, SN: 2, completed event: 0000000000001858
2025-10-21 02:12:35.107; INFO; TBGraphicControl; 11028; 12212] OnPowerChange end result = 1, {
  Cmd:HandelPowerChanged,
  OnPowerChangedFromTB:7,
}
2025-10-21 02:12:35.107; INFO; TBGraphicControl; 11028; 12212] OnPowerChange start
2025-10-21 02:12:35.107; INFO; StreamPlugin; 11028; 12212] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 4, completed event: 0000000000001858
2025-10-21 02:12:35.163; INFO; StreamPlugin; 11028; 12248] StreamPlugin::ConnectionHandler::SendCommand, removed sender, SN: 3, completed event: 0000000000000460
2025-10-21 02:12:35.164; INFO; StreamPlugin; 11028; 12248] StreamPlugin::SendRequest, (Request)From SystemFeature(0x04) to {4DC2157A-9687-45EB-982E-E5328E617509}
2025-10-21 02:12:35.167; INFO; StreamPlugin; 11028; 12212] StreamPlugin::ConnectionHandler::SendCommand, removed sender, SN: 4, completed event: 0000000000001858
2025-10-21 02:12:35.167; INFO; TBGraphicControl; 11028; 12212] OnPowerChange end result = 1, {
  Cmd:HandelPowerChanged,
  OnPowerChangedFromTB:32787,
}
2025-10-21 02:12:35.167; INFO; TBGraphicControl; 11028; 12212] OnPowerChange start
2025-10-21 02:12:35.167; INFO; StreamPlugin; 11028; 12212] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 5, completed event: 0000000000001858
2025-10-21 02:12:35.190; WARNING; StreamPlugin; 11028; 12248] StreamPlugin::DoCommand, connection peer 0x01 is not connected
2025-10-21 02:12:35.190; ERROR; ScenarioProfile; 11028; 12248] (ScenarioProfile)DoScenarioProfileReceiveServiceMessage: PostNotice fail.(0xa0800002). Data : {
  AppTag:SystemFeature_TouchPad,
  App_GUID:{e7d986da-d5db-45f4-9d7a-47ee736f55e3},
  App_Profile:1,
  Command:AppProfileChange,
  Event:ScenarioProfileReceiveServiceMessage,
}
2025-10-21 02:12:35.190; INFO; StreamPlugin; 11028; 12248] StreamPlugin::SendRequest, (Reply)From SystemFeature(0x04) to {4DC2157A-9687-45EB-982E-E5328E617509}, result: 0x00000000
